Zip,State,Municipality,Metro,County ,Year,Value,Population
27006,NC,Advance,"Winston-Salem, NC",Davie County,2011,225382.6927,13764
27007,NC,Ararat,"Mount Airy, NC",Surry County,2011,0,1874
27009,NC,Belews Creek,"Winston-Salem, NC",Forsyth County,2011,167758.2331,3038
27011,NC,Boonville,"Winston-Salem, NC",Yadkin County,2011,0,5777
27012,NC,Clemmons,"Winston-Salem, NC",Forsyth County,2011,214939.519,26509
27013,NC,Cleveland,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,2011,122064.9548,6066
27014,NC,Cooleemee,"Winston-Salem, NC",Davie County,2011,52723.05587,724
27016,NC,Danbury,"Winston-Salem, NC",Stokes County,2011,118447.6515,1780
27017,NC,Dobson,"Mount Airy, NC",Surry County,2011,115865.6908,9619
27018,NC,East Bend,"Winston-Salem, NC",Yadkin County,2011,0,7544
27019,NC,Germanton,"Winston-Salem, NC",Stokes County,2011,139444.5271,3482
27020,NC,Hamptonville,"Winston-Salem, NC",Yadkin County,2011,134849.3641,6467
27021,NC,King,"Winston-Salem, NC",Stokes County,2011,143974.644,18199
27022,NC,Lawsonville,"Winston-Salem, NC",Stokes County,2011,122254.6873,1701
27023,NC,Lewisville,"Winston-Salem, NC",Forsyth County,2011,217741.4758,10710
27024,NC,Lowgap,"Mount Airy, NC",Surry County,2011,0,2436
27025,NC,Madison,"Greensboro-High Point, NC",Rockingham County,2011,109810.0466,11529
27027,NC,Mayodan,"Greensboro-High Point, NC",Rockingham County,2011,79881.86228,4049
27028,NC,Mocksville,"Winston-Salem, NC",Davie County,2011,139093.039,25817
27030,NC,Mount Airy,"Mount Airy, NC",Surry County,2011,107453.2612,38260
27040,NC,Pfafftown,"Winston-Salem, NC",Forsyth County,2011,182646.5057,11246
27041,NC,Pilot Mountain,"Mount Airy, NC",Surry County,2011,142127.1118,6897
27043,NC,Pinnacle,"Mount Airy, NC",Surry County,2011,143377.7116,6428
27045,NC,Rural Hall,"Winston-Salem, NC",Forsyth County,2011,135782.0667,9042
27046,NC,Sandy Ridge,"Winston-Salem, NC",Stokes County,2011,115726.1475,2005
27048,NC,Stoneville,"Greensboro-High Point, NC",Rockingham County,2011,109907.0653,8578
27050,NC,Tobaccoville,"Winston-Salem, NC",Forsyth County,2011,139608.8832,3993
27051,NC,Walkertown,"Winston-Salem, NC",Forsyth County,2011,130250.7757,6722
27052,NC,Walnut Cove,"Winston-Salem, NC",Stokes County,2011,118098.2886,11259
27053,NC,Mount Airy,"Winston-Salem, NC",Stokes County,2011,120726.2013,3454
27054,NC,Woodleaf,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,2011,115362.9288,2283
27055,NC,Yadkinville,"Winston-Salem, NC",Yadkin County,2011,0,13849
27101,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,2011,104301.2048,16903
27103,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,2011,150238.573,32006
27104,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,2011,221756.503,28365
27105,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,2011,81671.77815,40233
27106,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,2011,186271.6843,45156
27107,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,2011,117666.9114,47274
27127,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,2011,128273.504,33669
27203,NC,Asheboro,"Greensboro-High Point, NC",Randolph County,2011,95407.78996,20852
27205,NC,Asheboro,"Greensboro-High Point, NC",Randolph County,2011,140254.215,33384
27207,NC,Bear Creek,"Durham-Chapel Hill, NC",Chatham County,2011,137877.1026,3441
27208,NC,Bennett,"Durham-Chapel Hill, NC",Chatham County,2011,142036.2512,1616
27209,NC,Biscoe,0,Montgomery County,2011,76342.96778,4197
27212,NC,Blanch,0,Caswell County,2011,108071.5796,2640
27214,NC,Browns Summit,"Greensboro-High Point, NC",Guilford County,2011,142856.0329,11323
27215,NC,Burlington,"Burlington, NC",Alamance County,2011,141944.1741,37442
27217,NC,0,"Burlington, NC",Alamance County,2011,86358.89009,36801
27229,NC,Candor,0,Montgomery County,2011,68832.16388,4090
27231,NC,Cedar Grove,"Durham-Chapel Hill, NC",Orange County,2011,178697.9641,1876
27233,NC,Climax,"Greensboro-High Point, NC",Randolph County,2011,142656.6886,3437
27235,NC,Colfax,"Greensboro-High Point, NC",Guilford County,2011,206641.4892,4631
27239,NC,Denton,"Winston-Salem, NC",Davidson County,2011,123531.0812,9194
27242,NC,Eagle Springs,"Pinehurst-Southern Pines, NC",Moore County,2011,79120.58933,2014
27243,NC,Efland,"Durham-Chapel Hill, NC",Orange County,2011,186831.1824,3580
27244,NC,Elon,"Burlington, NC",Alamance County,2011,154093.1277,14285
27248,NC,Franklinville,"Greensboro-High Point, NC",Randolph County,2011,115212.568,4629
27249,NC,Gibsonville,"Greensboro-High Point, NC",Guilford County,2011,140180.9917,11657
27252,NC,Goldston,"Durham-Chapel Hill, NC",Chatham County,2011,122107.3342,2482
